is_urgent,label,text
0,kekerasan seksual,Dari sepuluh permohonan perlindungan ke Lembaga Perlindungan Saksi dan Korban dua pertiganya terkait dengan kasus kekerasan seksual
0,kekerasan seksual,Segala hal yang terkait dengan seperti halnya konten telanjang tak senonoh kekerasan kata kasar
0,kekerasan seksual,misal korban kekerasan seksual harus menghadirkan orang saksi dan pelaku ada peluang dibebaskan jika bersedia disumpah lima kali hmm
0,kekerasan seksual,Terus gimana lu mau jelasin perihal kasus kekerasan seksual yg dialamin cewe pas lagi sholat di masjid Itu gara
1,kekerasan seksual,Miris dengan ceritanya karena kata ayah kekerasan seksual secara fisik dan verbal udah menjadi makanan sehari
0,kekerasan seksual,Ngobrol bareng ayah soal kekerasan seksual di tempat kerja Memang baru kali ini juga kami ngobrolin soal topik ini
0,kekerasan seksual,Efek berbahaya pada kesehatan ibu karena peningkatan paparan panas Berkurangnya akses ke air bersih selama
0,kekerasan seksual,Menurut KPAI sudah menjadi tugas kita semua untuk melindungi siapa saja termasuk anak anak dari potensi kejahatan
0,kekerasan seksual,jateng Hai sobat penak Pahami yuk berbagai istilah dalam pelecehan seksual Tetap waspada ya sobat terhadap kejahatan
0,kekerasan seksual,Tapi gua masih heran juga si kenapa ya kalo cewe jadi korban kekerasan seksual itu si cewe yg disalahin 
0,kekerasan seksual,Kasus kekerasan seksual marak Komisi Nasional Perlindungan Perempuan dan Anak mendesak pengesahan RUU PKS
1,kekerasan seksual,Sedih aja bahwa mrk harus mengalami itu Ngga berani lapor ke siapapun di real life Miris karena mrk ngga ada nyal
0,kekerasan seksual,Persamaan Jadi sebelum kita membahas secara detail apa itu fwb cinta satu malam dan sexual buddy
1,kekerasan seksual,Saya yang pernah alami kekerasan seksual
1,kekerasan seksual,dari pria pernah pengalami pelecehan seksual
1,kekerasan seksual,Berdasarkan laporan dari ILO salah satu penyebab terjadinya kekerasan seksual di industri hiburan
1,kekerasan seksual,Belum ada payung hukum yang memberikan keadilan pada korban kekerasan seksual 
0,kekerasan seksual,Wahini baju terbuka kah tertutup kan ttp ai rentan jadi korban pemerkosaan atau kekerasan seksual kyni
