Label,Text
0,kemeppa ahli banget menangani kasus kekerasan terutama pada perempuan dan anak Tingkatkan 
0,cs gastiadi aktif banget pelayananannya bagus semoga makin baik kedepannya 
0,aplikasi ini bisa menentukan posisi secara akurat sehingga bisa memberikan pelayanan yang tepat dan cepat
0,alhamdulillah atas bantuan aplikasi ini tetangga saya bisa selamat semoga kedepannya dapat diberikan rehabilitasi psikologis
0,terima kasih kemenppa yang telah menghadirkan aplikasi yang sangat membantu masyarakat terutama korban semoga menjadi amal jariyah ya
0,terima kasih atas bantuan kemenppa anak kecil di jalan anggrek nomor 5 sinduadi depok sleman sudah aman
0,terima kasih kepada kemenppa rehabilitasi dan pendampingan anaknya sangat ampuh tetangga saya saat ini sudah pulih dari traumanya
0,Pelayanan kemenppa ini sangat andal karena tidak hanya melakukan penanganan namun juga memberikan edukasi dan himbauan untuk masyarakat agar lebih peduli dengan wanita dan anak
0,gastiadi adalah andalan saya ketika mencari informasi tentang edukasi kekerasan pada perempuan dan anak
0,Terima kasih kemenppa telah menghadirkan aplikasi iniini memudahkan saya sebagai petugas puskesmas untuk mengedukasi warga agar lebih peduli tentang isu kekerasan pada anak dan perempuan dan melihat animo warga yang besar saya menjadi lebih semanngat ikut menjadi agen perubahan 
0,Terima kasih atas anjuran nya sangat membantu banyak pihak terutama untuk korban agar segera pulih
0,Terima kasih telah membuat aplikasi ini karang taruna desa ngesrep depok sleman sangat antusias dengan aplikasinya karena informasi dan penyampaiannya menarik serta fiturnya mudah digunakan
0,Melihat antusiasme dari masyarakat untuk membantu korban kekerasan kami dari puskemas siliwangi bandung berusaha melakukan sosialisasi terkait dengan aplikasi gastiadi responnya sangat baik
0,Suatu anugrah bagi saya bisa mengetahui adnya aplikasi gastiadi untuk membantu saudara saya untuk melaporkan tindak kekerasan responnya sangat baik dan cepat semoga kedepannya makin baik
0,Apresiasi untuk kemenppa yang telah membuat aplikasi ini untuk membantu masyarakat agar lebih peduli dengan hak perempuan dan anak
0,Atas arahan cs gastiadi tetangga saya telah memperoleh penanganan yang terbaik terima kasih kemenppa 
0,Terima kasih atas atensi kemenppa untuk membantu korban memperoleh rehabilitasi baik psikis dan psikologis
0,Ayo tingkatkan pelayanan kemenppa menjadi lebih baik lagi 
0,Aplikasi yang bagus banyak membantu masyarakat terrutama korban untuk segera memperoleh pertolongan
0,Aplikasi yang bagus dapat membantu pencegahan kasus dan membuat keluarga lebih bahagia
0,Terima kasih sudah membuat aplikasi ini saya akan mengajak masayarakat untuk bahu-membahu menjadi agen perubahan untuk lebih peduli pada perempuan dan anak
0,Pelayanan aplikasi ini sangat baik fitunya user friendly dan penuh edukasi yang bermanfaat
0,Terima kasih sudah membantu para korban terutama anak-anak sehingga mereka dapat menyalurkan bakat nya menjadi berprestasi
0,Terima kasih kemenppa atas bakti mu kepada negeri sukses selalu 
0,Kemenppa sangat responsif dalam mengirimkan bala bantuan untuk menolong korban alhamdulillah tetangga saya masih tertolong
0,Terima kasih bantuannya semoga tuhan memberikan balas budi kepada orang-orang baik
0,Sangat bangga Indonesia punya aplikasi mitigasi kekerasan terhadap perempuan dan anak semoga semua lapisan masyarakat dapat menggunakan aplikasi ini dengan baik
0,Terima kasih atas pelayanannya sodara saya telah bangkit dari trauma dan dapat beraktivitas seperti semula
0,Bantuan personil dari kemenppa sudah datang terima kasih responnya
0,Petugas kemenppa sangat becus dalam menangani kasus ini tidak perlu waktu lama sudah ada pertugas yang datang  Salut
0,Aplikasi ini adalah salah satu bekal agar pelayanan kemenppa menjadi lebih baik semangat Semoga lebih baik kedepannya
0,Terima kasih kepada petugas kemenppa sudah bekerja keras semoga berkah 
0,Terimakasih atas kerja sama kemenppa dengan polisi setempat sehingga kasus kekerasan anak di singgigi ende maluku bisa teratasi dengan baik
0,Saya banyak belajar dari aplikasi ini ternyata sebagai masyarakat kita bisa turut menjadi agen pemberdayaan perempuan dan anak dengan memberikan dukungan atas hak yang perlu mereka dapatkan
0,Semua layanan kemenpap sudah baik mungkin yang perlu di benahi adalah dibagian birokrasi rehabilitasi agar lebih dipermudah
0,Terima kasih sudah membela yang benar
0,Aplikasi yang bagus selain menu lapor juga ada menu edukasi terkait perempuan dan anak sangat beraneka ragam sangat bermanfaat
0,Terima kasih sudah berangkulan dengan aparat setampat untuk menangasni kasus kekerasan sangat efektif dan efisien
